1024	121.453862	123.735272
4096	336.209977	340.722537
16384	581.509154	596.345290
65536	986.603027	1022.118121
262144	923.448285	971.259806
1048576	892.947222	912.518424
4194304	807.476133	829.242841
16777216	1051.420287	1435.809521
33554432	1265.366438	1422.999867
1024	118.060879	125.629756
4096	97.140835	99.778722
16384	113.070600	114.629478
65536	118.371854	120.951306
262144	118.576684	119.835739
1048576	118.784430	119.963704
4194304	196.536436	228.654478
16777216	216.343125	228.177324
33554432	220.563094	228.127410
1024	250.084749	251.835004
4096	378.934199	383.038365
16384	716.907338	730.997509
65536	1028.080111	1057.763043
262144	1034.611914	1058.136825
1048576	1900.804748	1976.900006
4194304	993.807203	1005.247130
16777216	1183.761969	1881.441372
33554432	1615.886825	1902.635315
1024	95.280755	100.522182
4096	148.777476	152.434719
16384	172.902793	174.914354
65536	117.691011	122.734326
262144	228.490786	234.803937
1048576	121.328492	122.251051
4194304	221.003014	232.829670
16777216	216.756633	234.082094
33554432	227.313915	233.305435
