    1024	   4	       256	     0.028
    1024	  16	        64	     0.026
    1024	  64	        16	     0.027
    1024	 256	         4	     0.027
    1024	1024	         1	     0.027
   16384	   4	      4096	     0.362
   16384	  16	      1024	     0.406
   16384	  64	       256	     0.429
   16384	 256	        64	     0.433
   16384	1024	        16	     0.443
  262144	   4	     65536	     0.747
  262144	  16	     16384	     1.104
  262144	  64	      4096	     1.347
  262144	 256	      1024	     1.177
  262144	1024	       256	     1.302
  524288	   4	    131072	     0.988
  524288	  16	     32768	     1.954
  524288	  64	      8192	     2.086
  524288	 256	      2048	     1.838
  524288	1024	       512	     2.532
 1048576	   4	    262144	     1.189
 1048576	  16	     65536	     2.353
 1048576	  64	     16384	     4.334
 1048576	 256	      4096	     4.420
 1048576	1024	      1024	     4.281
 2097152	   4	    524288	     1.314
 2097152	  16	    131072	     3.855
 2097152	  64	     32768	     6.729
 2097152	 256	      8192	     6.976
 2097152	1024	      2048	     6.921
 4194304	   4	   1048576	     1.350
 4194304	  16	    262144	     4.479
 4194304	  64	     65536	     8.780
 4194304	 256	     16384	     8.008
 4194304	1024	      4096	     9.062
 8388608	   4	   2097152	     1.417
 8388608	  16	    524288	     4.912
 8388608	  64	    131072	    10.494
 8388608	 256	     32768	    11.311
 8388608	1024	      8192	    11.549
    1024	   4	       256	     0.027
    1024	  16	        64	     0.028
    1024	  64	        16	     0.028
    1024	 256	         4	     0.026
    1024	1024	         1	     0.026
   16384	   4	      4096	     0.361
   16384	  16	      1024	     0.423
   16384	  64	       256	     0.328
   16384	 256	        64	     0.442
   16384	1024	        16	     0.440
  262144	   4	     65536	     0.728
  262144	  16	     16384	     1.076
  262144	  64	      4096	     1.078
  262144	 256	      1024	     1.250
  262144	1024	       256	     1.100
  524288	   4	    131072	     0.943
  524288	  16	     32768	     1.921
  524288	  64	      8192	     2.410
  524288	 256	      2048	     2.461
  524288	1024	       512	     2.443
 1048576	   4	    262144	     1.151
 1048576	  16	     65536	     2.834
 1048576	  64	     16384	     3.422
 1048576	 256	      4096	     4.114
 1048576	1024	      1024	     3.537
 2097152	   4	    524288	     1.243
 2097152	  16	    131072	     3.731
 2097152	  64	     32768	     6.101
 2097152	 256	      8192	     6.022
 2097152	1024	      2048	     5.865
 4194304	   4	   1048576	     1.329
 4194304	  16	    262144	     4.304
 4194304	  64	     65536	     7.613
 4194304	 256	     16384	     7.252
 4194304	1024	      4096	     7.021
 8388608	   4	   2097152	     1.365
 8388608	  16	    524288	     4.710
 8388608	  64	    131072	     9.438
 8388608	 256	     32768	     9.704
 8388608	1024	      8192	     9.517
    1024	  32	        32	     0.005
    1024	  64	        16	     0.006
    1024	 128	         8	     0.006
    1024	 256	         4	     0.005
   16384	  32	       512	     0.089
   16384	  64	       256	     0.069
   16384	 128	       128	     0.091
   16384	 256	        64	     0.086
  262144	  32	      8192	     0.878
  262144	  64	      4096	     0.943
  262144	 128	      2048	     1.094
  262144	 256	      1024	     0.994
  524288	  32	     16384	     1.654
  524288	  64	      8192	     1.905
  524288	 128	      4096	     2.196
  524288	 256	      2048	     2.150
 1048576	  32	     32768	     2.234
 1048576	  64	     16384	     3.057
 1048576	 128	      8192	     3.518
 1048576	 256	      4096	     3.382
 2097152	  32	     65536	     2.896
 2097152	  64	     32768	     4.132
 2097152	 128	     16384	     5.166
 2097152	 256	      8192	     4.774
 4194304	  32	    131072	     3.170
 4194304	  64	     65536	     4.885
 4194304	 128	     32768	     6.514
 4194304	 256	     16384	     5.774
 8388608	  32	    262144	     3.455
 8388608	  64	    131072	     5.417
 8388608	 128	     65536	     7.437
 8388608	 256	     32768	     6.553
